index,filename,reduced_formula,full_formula,num_sites,status,r_val,quality_tag,temperature,pressure,sgr,is_polymorph,polymorph_count,sg_number,refined_sg_number,refined_sg_symbol,is_organic,prototype
42895,202435.cif,Mo9O26,Mo5.77+72 O2-208,280,success,0.041,Q,293.0,0.101325,C12/C1,True,4.0,15.0,15.0,C2/c,False,Binary
46449,24031.cif,Mo9O26,Mo5.78+18 O2-52,70,success,,,293.0,0.101325,P12/A1,True,4.0,,13.0,P2/c,False,Binary
56939,27510.cif,Mo9O26,Mo5.78+36 O2-104,140,success,0.079,,293.0,0.101325,P1-,True,4.0,2.0,2.0,P-1,False,Binary
26674,16521.cif,MoH4O5,Mo6+16 H+64 O2-80,160,success,0.025,Q,293.0,0.101325,P121/N1,True,4.0,,14.0,P2_1/c,False,Ternary
59750,2859.cif,MoH4O5,Mo6+16 H+64 O2-80,160,success,0.048,,,,P121/N1,True,4.0,,14.0,P2_1/c,False,Ternary
113059,644084.cif,MoP,Mo0+1 P0+1,2,success,,,293.0,0.101325,P6-M2,True,4.0,,187.0,P-6m2,False,Rocksalt/Zincblende/CsCl
127721,76367.cif,MoP,Mo3+1 P3-1,2,success,,,293.0,0.101325,P6-M2,True,4.0,,187.0,P-6m2,False,Rocksalt/Zincblende/CsCl
49507,246575.cif,Na(FeSb3)4,Na0+2 Fe0+8 Sb0+24,34,success,0.014,Q,295.0,0.101325,IM3-,True,4.0,204.0,204.0,Im-3,False,Ternary
142821,91722.cif,Na0.26Ca0.82Mg10.636Mn2.284Si16H4O48,Mg2+10.636 Mn2.11+2.284 Ca2+0.82 Na+0.26 Si4+16 H+4 O2-48,82,success,0.019,,523.0,0.101325,C12/M1,True,4.0,12.0,12.0,C2/m,False,Other
142823,91724.cif,Na0.26Ca0.82Mg10.636Mn2.284Si16H4O48,Mg2+10.636 Mn2.11+2.284 Ca2+0.82 Na+0.26 Si4+16 H+4 O2-48,82,success,0.018,,623.0,0.101325,C12/M1,True,4.0,12.0,12.0,C2/m,False,Other
142830,91731.cif,Na0.26Ca0.82Mg10.636Mn2.284Si16H4O48,Mg2+10.636 Mn2.11+2.284 Ca2+0.82 Na+0.26 Si4+16 H+4 O2-48,82,success,0.016,,973.0,0.101325,C12/M1,True,4.0,12.0,12.0,C2/m,False,Other
142832,91733.cif,Na0.26Ca0.82Mg10.636Mn2.284Si16H4O48,Mg2.11+10.636 Mn2.11+2.284 Ca2+0.82 Na+0.26 Si4+16 H+4 O2-48,82,success,0.018,,623.0,0.101325,C12/M1,True,4.0,12.0,12.0,C2/m,False,Other
147318,95888.cif,Na0.404Li3.596Fe4Si8O24,Na+0.404 Li+3.596 Fe3+4 Si4+8 O2-24,40,success,0.0165,,298.0,0.101325,C12/C1,True,4.0,15.0,15.0,C2/c,False,Other
147321,95890.cif,Na0.404Li3.596Fe4Si8O24,Li+3.596 Na+0.404 Fe3+4 Si4+8 O2-24,40,success,0.0204,,160.0,0.101325,P121/C1,True,4.0,14.0,14.0,P2_1/c,False,Other
18548,157735.cif,Na0.96Ca3.04Al0.96Fe3.04Si8O24,Na+0.96 Ca2+3.04 Fe2+3.04 Al3+0.96 Si4+8 O2-24,40,success,0.034,Q,293.0,0.101325,C12/C1,True,4.0,15.0,15.0,C2/c,False,Other
16296,155644.cif,Na1.6Ti4.4Ga9.6O24,Na+1.6 Ga3+9.6 Ti4+4.4 O2-24,42,success,,,293.0,0.101325,PBAM,True,4.0,,55.0,Pbam,False,Quaternary
16297,155645.cif,Na1.6Ti4.4Ga9.6O24,Na+1.6 Ga3+9.6 Ti4+4.4 O2-24,40,success,,,293.0,0.101325,P12/M1,True,4.0,10.0,10.0,P2/m,False,Quaternary
16298,155646.cif,Na1.6Ti4.4Ga9.6O24,Na+1.6 Ti4+4.4 Ga3+9.6 O2-24,42,success,,,293.0,0.101325,C12/M1,True,4.0,12.0,12.0,C2/m,False,Quaternary
54784,261542.cif,Na1.728Hf6N6Cl6,Na+1.728 Hf3.71+6 N3-6 Cl-6,21,success,0.067,,4.0,0.101325,R3-MH,True,4.0,,166.0,R-3m,False,Quaternary
41289,200835.cif,Na2(ReS2)3,Na+16 Re3+24 S-8 S2-40,88,success,0.06,Q,293.0,0.101325,C12/C1,True,4.0,15.0,15.0,C2/c,False,Ternary
21899,160820.cif,Na2Al2Si3O10,Na+16 Al3+16 Si4+24 O2-80,136,success,,,673.0,0.101325,F112,True,4.0,,5.0,C2,False,Quaternary
21900,160821.cif,Na2Al2Si3O10,Na+16 Al3+16 Si4+24 O2-80,152,success,,,673.0,0.101325,FDD2,True,4.0,43.0,43.0,Fdd2,False,Quaternary
29312,167618.cif,Na2Al2Si3O10,Na+16.0 Al3+16 Si4+24 O2-80,152,success,0.0483,,673.0,0.101325,F112,True,4.0,,5.0,C2,False,Quaternary
29313,167619.cif,Na2Al2Si3O10,Na+16 Al3+16 Si4+24 O2-80,152,success,0.0483,,673.0,0.101325,FDD2,True,4.0,43.0,43.0,Fdd2,False,Quaternary
11420,1511.cif,Na2FeNiF7,Na+8 Fe3+4 Ni2+4 F-28,44,success,0.029,Q,293.0,0.101325,IMM2,True,4.0,44.0,44.0,Imm2,False,Quaternary
16882,15618.cif,Na2MgSiO4,Na+8 Mg2+4 Si4+4 O2-16,32,success,0.029,Q,293.0,0.101325,P1N1,True,4.0,,7.0,Pc,False,Quaternary
135817,84562.cif,Na2MgSiO4,Na+8 Mg2+4 Si4+4 O2-16,32,success,0.028,Q,293.0,0.101325,PNA21,True,4.0,,33.0,Pna2_1,False,Quaternary
18104,157318.cif,Na2RuO4,Na+16 Ru6+8 O2-32,56,success,0.0456,,1.5,0.101325,P121/C1,True,4.0,14.0,14.0,P2_1/c,False,Ternary
65289,37093.cif,Na2S2O3,Na+8 S2-4 S6+4 O2-12,28,success,0.04,,293.0,0.101325,P121/C1,True,4.0,14.0,14.0,P2_1/c,False,Ternary
65290,37094.cif,Na2S2O3,Na+24 S2-12 S6+12 O2-36,84,success,0.023,,293.0,0.101325,PNA21,True,4.0,,33.0,Pna2_1,False,Ternary
27511,16598.cif,Na2SiF6,Na+6 Si4+3 F-18,27,success,0.085,,,,P321,True,4.0,150.0,150.0,P321,False,Perovskite
61259,30348.cif,Na2SiF6,Na+6 Si4+3 F-18,27,success,,,293.0,0.101325,P3-M1,True,4.0,164.0,164.0,P-3m1,False,Perovskite
13908,153438.cif,Na2TbO3,Na+16 Tb4+8 O2-24,48,success,0.0146,Q,290.0,0.101325,C12/C1,True,4.0,15.0,15.0,C2/c,False,Ternary
15273,154707.cif,Na2TbO3,Na+16 Tb4+8 O2-24,48,success,0.0603,Q,293.0,0.101325,C12/C1,True,4.0,15.0,15.0,C2/c,False,Ternary
113833,64665.cif,Na2TbO3,Na+16 Tb4+8 O2-24,48,success,0.0486,Q,293.0,0.101325,C12/C1,True,4.0,15.0,15.0,C2/c,False,Ternary
40114,1883.cif,Na2W2O7,Na+16 W6+16 O2-56,88,success,0.054,Q,293.0,0.101325,CMCA,True,4.0,,64.0,Cmce,False,Ternary
46558,24041.cif,Na2W2O7,Na+16 W6+16 O2-56,88,success,,,293.0,0.101325,CMCA,True,4.0,,64.0,Cmce,False,Ternary
117727,65780.cif,Na2W2O7,Na+8 W6+8 O2-28,44,success,0.038,Q,296.0,0.101325,CMC21,True,4.0,36.0,36.0,Cmc2_1,False,Ternary
73037,413494.cif,Na3Al3Si3O16,Na+6 Al3+6 Si4+6 O2-32,52,success,0.0703,Q,293.0,0.101325,P4-3N,True,4.0,,218.0,P-43n,False,Quaternary
132594,81432.cif,Na3In(PO4)2,Na+12 In3+4 P5+8 O2-32,56,success,0.031,Q,296.0,0.101325,P121/N1,True,4.0,,14.0,P2_1/c,False,Quaternary
138952,87833.cif,Na3In(PO4)2,Na+6 In3+2 P5+4 O2-16,28,success,0.035,Q,293.0,0.101325,P121/M1,True,4.0,,11.0,P2_1/m,False,Quaternary
39927,186615.cif,Na4.712Ca1.392Al5.6496Si10.3504O42.46,Na+4.712 Ca2+1.392 Al3+5.6496 Si4+10.3504 O2-42.46,80,success,,,,,,True,4.0,,62.0,Pnma,False,Other
39928,186616.cif,Na4.712Ca1.392Al5.6496Si10.3504O42.46,Na+4.712 Ca2+1.392 Al3+5.6496 Si4+10.3504 O2-42.46,80,success,,,,,,True,4.0,,62.0,Pnma,False,Other
39929,186617.cif,Na4.712Ca1.392Al5.6496Si10.3504O42.46,Na+4.712 Ca2+1.392 Al3+5.6496 Si4+10.3504 O2-42.46,80,success,,,,,,True,4.0,,62.0,Pnma,False,Other
39930,186618.cif,Na4.712Ca1.392Al5.6496Si10.3504O42.46,Na+4.712 Ca2+1.392 Al3+5.6496 Si4+10.3504 O2-42.46,80,success,,,,,,True,4.0,,62.0,Pnma,False,Other
