mp_id,reduced_formula,atoms,polymorphs,elements,sg,sg_num,packing_density,occupied_volume,unit_cell_volume,perovskite,polyhedron,cn,binary,ternary,prototype,ox_state
cifs/mp-2186.cif,NpAs,2,1,"['Np', 'As']",F m -3 m,225,0.584694216,28.81992381,49.29059155,False,2,6,True,False,Rocksalt/Zincblende/CsCl,{}
cifs/mp-2187.cif,TiSb,4,1,"['Ti', 'Sb']",P 63/m m c,194,0.546492579,48.52818172,88.79934251,False,4,6,True,False,Rocksalt/Zincblende/CsCl,"{'Ti': 3.0, 'Sb': -3.0}"
cifs/mp-21873.cif,NiAs2,12,1,"['Ni', 'As']",P a -3,205,0.475621685,92.18898922,193.8283979,False,12,10,True,False,Fluorite/Rutile,"{'Ni': 2.0, 'As': -1.0}"
cifs/mp-21889.cif,Th(GePt)2,5,1,"['Th', 'Ge', 'Pt']",I 4/m m m,139,0.629491466,61.40347561,97.54457194,False,5,29,False,True,Ternary,{}
cifs/mp-21900.cif,Ce(SiIr)2,10,1,"['Ce', 'Si', 'Ir']",P 4/n m m,129,0.677136448,116.5687954,172.1496395,False,10,29,False,True,Ternary,{}
cifs/mp-2191.cif,ErSb,2,1,"['Er', 'Sb']",F m -3 m,225,0.603027231,35.21934804,58.40424153,False,2,6,True,False,Rocksalt/Zincblende/CsCl,"{'Er': 3.0, 'Sb': -3.0}"
cifs/mp-2192.cif,BPt,4,1,"['B', 'Pt']",P 63/m m c,194,0.574765085,25.75687097,44.81286643,False,4,14,True,False,Rocksalt/Zincblende/CsCl,{}
cifs/mp-2196.cif,BaSb2,18,1,"['Ba', 'Sb']",P 21/m,11,0.615074951,403.0192136,655.2359401,False,18,24,True,False,Fluorite/Rutile,"{'Ba': 2.0, 'Sb': -1.0}"
cifs/mp-2199.cif,Fe3Si,4,1,"['Fe', 'Si']",F m -3 m,225,0.911134048,40.05740073,43.96433301,False,4,22,True,False,Binary,"{'Fe': 1.333333333333333, 'Si': -4.0}"
cifs/mp-22006.cif,VMoO5,14,1,"['V', 'Mo', 'O']",P 1,1,0.262571835,55.19987732,210.2277164,False,4,9,False,True,Ternary,"{'V': 4.0, 'Mo': 6.0, 'O': -2.0}"
cifs/mp-22009.cif,PbSe,4,1,"['Pb', 'Se']",F m m 2,42,0.263346192,61.59930155,233.909976,False,4,6,True,False,Rocksalt/Zincblende/CsCl,"{'Pb': 2.0, 'Se': -2.0}"
cifs/mp-22013.cif,LaTiO3,20,1,"['La', 'Ti', 'O']",P n m a,62,0.722010402,181.0709286,250.7871466,True,8,14,False,True,Perovskite,"{'La': 3.0, 'Ti': 3.0, 'O': -2.0}"
cifs/mp-22023.cif,Pb3SO6,20,1,"['Pb', 'S', 'O']",P 21/m,11,0.473196874,165.8090715,350.4018738,False,6,11,False,True,Ternary,"{'Pb': 2.0, 'S': 6.0, 'O': -2.0}"
cifs/mp-22026.cif,Ce(NiSn)2,5,1,"['Ce', 'Ni', 'Sn']",I 4/m m m,139,0.711721924,72.67393926,102.1100191,False,5,33,False,True,Ternary,{}
cifs/mp-22037.cif,Cu6PbO8,15,1,"['Cu', 'Pb', 'O']",F m -3 m,225,0.582172878,93.50322215,160.6107492,False,7,6,False,True,Ternary,"{'Cu': 2.0, 'Pb': 4.0, 'O': -2.0}"
cifs/mp-22052.cif,Zn(InS2)2,14,1,"['Zn', 'In', 'S']",F d -3 m,227,0.374921125,116.5164355,310.7758614,False,6,10,False,True,Spinel,"{'Zn': 2.0, 'In': 3.0, 'S': -2.0}"
cifs/mp-22064.cif,Cr2As,9,1,"['Cr', 'As']",A m m 2,38,0.679523389,88.07612084,129.6145537,False,9,18,True,False,Fluorite/Rutile,{}
cifs/mp-22070.cif,CeF3,24,1,"['Ce', 'F']",P 63 2 2,182,0.531247094,168.5558706,317.2833743,False,6,12,True,False,Binary,"{'Ce': 3.0, 'F': -1.0}"
cifs/mp-22071.cif,SbO2,24,1,"['Sb', 'O']",F d -3 m,227,0.399972585,116.6368633,291.6121449,False,8,3,True,False,Fluorite/Rutile,{}
cifs/mp-22086.cif,Ba3WO6,10,1,"['Ba', 'W', 'O']",F m -3 m,225,0.749536796,140.6239704,187.614499,False,4,18,False,True,Ternary,"{'Ba': 2.0, 'W': 6.0, 'O': -2.0}"
cifs/mp-22098.cif,CePO4,24,1,"['Ce', 'P', 'O']",P 21/c,14,0.434436518,137.3190149,316.085341,False,8,12,False,True,Ternary,"{'Ce': 3.0, 'P': 5.0, 'O': -2.0}"
cifs/mp-2211.cif,V3Pt,8,1,"['V', 'Pt']",P m -3 n,223,0.73850542,82.4479576,111.6416419,False,8,18,True,False,Binary,{}
cifs/mp-22116.cif,EuGe2,3,1,"['Eu', 'Ge']",P -3 m 1,164,0.546610863,42.88431052,78.45491816,False,3,6,True,False,Fluorite/Rutile,{}
cifs/mp-22126.cif,U2S3,20,1,"['U', 'S']",P n m a,62,0.550422518,229.8598625,417.6062113,False,8,15,True,False,Binary,"{'U': 3.0, 'S': -2.0}"
cifs/mp-2213.cif,FeNi,2,1,"['Fe', 'Ni']",P 4/m m m,123,0.96881458,21.80003502,22.50176192,False,2,12,True,False,Rocksalt/Zincblende/CsCl,{}
cifs/mp-22140.cif,PuPd,4,1,"['Pu', 'Pd']",I m m a,74,0.967878358,67.88667565,70.13967727,False,4,4,True,False,Rocksalt/Zincblende/CsCl,{}
cifs/mp-22142.cif,SiSe2,6,1,"['Si', 'Se']",I 4/m c m,140,0.151839419,36.63306474,241.2618874,False,6,6,True,False,Fluorite/Rutile,"{'Si': 4.0, 'Se': -2.0}"
cifs/mp-22152.cif,NaFeAs,6,1,"['Na', 'Fe', 'As']",P 4/n m m,129,0.794114477,84.5873822,106.5178694,False,6,13,False,True,Ternary,"{'Na': 1.0, 'Fe': 2.0, 'As': -3.0}"
cifs/mp-22164.cif,PrNiSn,12,1,"['Pr', 'Ni', 'Sn']",P n m a,62,0.746571955,198.3915761,265.7367114,False,12,10,False,True,Ternary,{}
cifs/mp-22171.cif,Cu3SbS4,16,1,"['Cu', 'Sb', 'S']",P m n 21,31,0.38199696,120.8863909,316.4590394,False,8,4,False,True,Ternary,"{'Cu': 1.666666666666666, 'Sb': 3.0, 'S': -2.0}"
cifs/mp-22173.cif,LiFe(GeO3)2,20,1,"['Li', 'Fe', 'Ge', 'O']",C 2/c,15,0.409652278,92.11044941,224.8503286,False,8,10,False,False,Quaternary,"{'Li': 1.0, 'Fe': 3.0, 'Ge': 4.0, 'O': -2.0}"
cifs/mp-22194.cif,NbFeO4,12,1,"['Nb', 'Fe', 'O']",P 2/c,13,0.433347701,55.76641119,128.6874513,False,4,6,False,True,Ternary,"{'Nb': 5.0, 'Fe': 3.0, 'O': -2.0}"
cifs/mp-22203.cif,SmMnO3,20,1,"['Sm', 'Mn', 'O']",P n m a,62,0.668221331,162.9209006,243.8127802,True,8,14,False,True,Perovskite,"{'Sm': 3.0, 'Mn': 3.0, 'O': -2.0}"
cifs/mp-22210.cif,Co2As,3,1,"['Co', 'As']",P -6 m 2,187,0.736155458,26.9826157,36.65342069,False,3,17,True,False,Fluorite/Rutile,"{'Co': 1.5, 'As': -3.0}"
cifs/mp-22212.cif,NaSbO3,20,1,"['Na', 'Sb', 'O']",P n m a,62,0.675398352,159.6536443,236.384415,True,8,14,False,True,Perovskite,"{'Na': 1.0, 'Sb': 5.0, 'O': -2.0}"
cifs/mp-22215.cif,Ba2Y(CuO2)3,12,1,"['Ba', 'Y', 'Cu', 'O']",P 4/m m m,123,0.78492924,144.0352164,183.5008929,False,6,14,False,False,Quaternary,"{'Ba': 2.0, 'Y': 3.0, 'Cu': 1.666666666666666, 'O': -2.0}"
cifs/mp-22232.cif,TlInSe2,8,1,"['Tl', 'In', 'Se']",I 4/m c m,140,0.479151182,114.1413915,238.2158193,False,8,6,False,True,Ternary,"{'Tl': 1.0, 'In': 3.0, 'Se': -2.0}"
cifs/mp-22238.cif,TbSnPt,12,1,"['Tb', 'Sn', 'Pt']",P n m a,62,0.679622481,182.101371,267.9448901,False,12,31,False,True,Ternary,{}
cifs/mp-22240.cif,MnAs,8,1,"['Mn', 'As']",P n m a,62,0.622506777,71.4586665,114.7917889,False,8,6,True,False,Rocksalt/Zincblende/CsCl,"{'Mn': 3.0, 'As': -3.0}"
cifs/mp-22246.cif,EuTiO3,20,1,"['Eu', 'Ti', 'O']",P 1,1,0.655297253,40.73022516,62.15534243,True,8,18,False,True,Perovskite,"{'Eu': 2.0, 'Ti': 4.0, 'O': -2.0}"
cifs/mp-22272.cif,Ba2UCuO6,10,1,"['Ba', 'U', 'Cu', 'O']",I 4/m m m,139,0.564338632,121.4435,215.1961485,False,4,12,False,False,Quaternary,"{'Ba': 2.0, 'U': 6.0, 'Cu': 2.0, 'O': -2.0}"
cifs/mp-22280.cif,PrNiO3,20,1,"['Pr', 'Ni', 'O']",P n m a,62,0.680993896,158.1687181,232.2615798,True,8,14,False,True,Perovskite,"{'Pr': 3.0, 'Ni': 3.0, 'O': -2.0}"
cifs/mp-2229.cif,ZnO,2,1,"['Zn', 'O']",F m -3 m,225,0.548986224,11.21077338,20.42086467,False,1,6,True,False,Rocksalt/Zincblende/CsCl,"{'Zn': 2.0, 'O': -2.0}"
cifs/mp-22297.cif,Cu2Se,3,1,"['Cu', 'Se']",F -4 3 m,216,0.557621879,26.9826157,48.38873206,False,3,18,True,False,Fluorite/Rutile,"{'Cu': 1.0, 'Se': -2.0}"
cifs/mp-223.cif,GeO2,9,1,"['Ge', 'O']",P 32 2 1,154,0.232498611,29.97236471,128.9141667,False,3,4,True,False,Fluorite/Rutile,"{'Ge': 4.0, 'O': -2.0}"
cifs/mp-22304.cif,Cd(InSe2)2,7,1,"['Cd', 'In', 'Se']",I -4,82,0.340909182,72.27809858,212.0156993,False,7,7,False,True,Spinel,"{'Cd': 2.0, 'In': 3.0, 'Se': -2.0}"
cifs/mp-22309.cif,CoSe2,12,1,"['Co', 'Se']",P a -3,205,0.462235468,92.18898922,199.4416172,False,12,9,True,False,Fluorite/Rutile,"{'Co': 4.0, 'Se': -2.0}"
cifs/mp-2231.cif,SnS,8,1,"['Sn', 'S']",P n m a,62,0.331914104,67.83536297,204.3762593,False,4,3,True,False,Rocksalt/Zincblende/CsCl,"{'Sn': 2.0, 'S': -2.0}"
cifs/mp-22318.cif,SrAl2,6,1,"['Sr', 'Al']",I m m a,74,0.6624725,99.74556675,150.5655958,False,6,22,True,False,Fluorite/Rutile,{}
cifs/mp-22322.cif,EuInPd,12,1,"['Eu', 'In', 'Pd']",P n m a,62,0.731944786,214.4576809,292.9970743,False,12,24,False,True,Ternary,{}
cifs/mp-22323.cif,In2O3,10,1,"['In', 'O']",R -3 c,167,0.510605827,67.8227966,132.8280898,False,4,6,True,False,Binary,"{'In': 3.0, 'O': -2.0}"
cifs/mp-22332.cif,TaInS2,4,1,"['Ta', 'In', 'S']",P -6 m 2,187,0.429494724,36.74616207,85.55672527,False,2,8,False,True,Ternary,"{'Ta': 3.0, 'In': 1.0, 'S': -2.0}"
