mp_id,oxidation_states,entry_type
mp-1007821,{},GGA
mp-1007853,{},GGA
mp-1007854,{},GGA
mp-1007855,{},GGA
mp-1007862,{},GGA
mp-1007881,"{'Fe': 3.0, 'B': -3.0}",GGA
mp-1007918,{},GGA
mp-1007922,"{'Cu': 1.0, 'I': -1.0}",GGA
mp-1007923,{},GGA
mp-1007975,{},GGA
mp-1007992,{},GGA
mp-1008223,"{'Ca': 2.0, 'Se': -2.0}",GGA
mp-1008274,{},GGA
mp-1008275,{},GGA
mp-1008278,{},GGA
mp-1008279,{},GGA
mp-1008280,{},GGA
mp-1008282,{},GGA
mp-1008285,{},GGA
mp-1008349,{},GGA
mp-1008471,"{'Cd': 2.0, 'Te': -2.0}",GGA
mp-1008472,"{'Cd': 2.0, 'Si': 2.0, 'P': -2.0}",GGA
mp-1008483,"{'Cd': 2.0, 'N': -2.0}",GGA
mp-1008487,"{'B': -3.0, 'W': 3.0}",GGA
mp-1008488,"{'Bi': -3.0, 'Pd': 3.0}",GGA
mp-1008489,"{'Cd': 2.0, 'N': -2.0}",GGA
mp-1008490,"{'Bi': 3.0, 'I': -1.0}",GGA
mp-1008491,"{'Be': 2.0, 'Si': 2.0, 'P': -2.0}",GGA
mp-1008500,"{'Ba': 2.0, 'O': -2.0}",GGA
mp-1008523,"{'B': 3.0, 'C': -1.0, 'N': -1.0}",GGA
mp-1008526,"{'B': 3.0, 'C': -3.0, 'N': -3.0}",GGA
mp-1008527,"{'B': 3.0, 'C': -3.0, 'N': -3.0}",GGA
mp-1008554,{},GGA
mp-1008555,{},GGA
mp-1008559,"{'B': 3.0, 'P': -3.0}",GGA
mp-1008600,"{'Zr': 4.0, 'N': -2.0}",GGA
mp-1008625,"{'W': 2.0, 'C': -4.0}",GGA
mp-1008626,"{'V': 4.0, 'Te': -2.0}",GGA
mp-1008630,"{'W': 2.0, 'C': -2.0}",GGA
mp-1008632,"{'V': 2.0, 'C': -4.0}",GGA
mp-1008635,"{'W': 4.0, 'C': -4.0}",GGA
mp-1008642,"{'U': 6.0, 'C': -3.0}",GGA
mp-1008650,"{'Ce': 2.0, 'Se': -2.0}",GGA
mp-1008653,"{'Ag': 1.0, 'C': -1.0}",GGA
mp-1008661,"{'Au': 3.0, 'C': -3.0}",GGA
mp-1008676,"{'Ti': 2.0, 'S': -1.0}",GGA
mp-1008677,"{'Ti': 4.0, 'O': -2.0}",GGA
mp-1008680,{},GGA
mp-1008682,"{'Ti': 4.0, 'S': -2.0}",GGA
mp-1008688,{},GGA
mp-1008726,{},GGA
mp-1008762,"{'Ta': 2.0, 'N': -1.0}",GGA
mp-1008776,"{'Sr': 2.0, 'C': -1.0}",GGA
mp-1008785,"{'Ru': 4.0, 'O': -2.0}",GGA
mp-1008786,"{'Mg': 2.0, 'Te': -2.0}",GGA
mp-1008798,"{'Re': 6.0, 'N': -3.0}",GGA
mp-1008802,"{'Re': 4.0, 'C': -2.0}",GGA
mp-1008806,"{'Re': 4.0, 'C': -2.0}",GGA
mp-1008809,"{'Pt': 4.0, 'N': -2.0}",GGA
mp-1008820,"{'Pd': 2.0, 'N': -1.0}",GGA
mp-1008823,"{'Os': 4.0, 'N': -2.0}",GGA
mp-1008832,"{'Hf': 4.0, 'C': -4.0}",GGA
mp-1008835,"{'Os': 4.0, 'C': -2.0}",GGA
mp-1008860,"{'Nb': 4.0, 'S': -2.0}",GGA
